Address,FaxNo,POIID,POIName,SpecialStore_Kind,Store_URL,Telno,X,Y,city_name,is7WiFi,isATM,isCityCafe,isCorn,isDining,isFruit,isHealthStations,isHotDog,isIbon,isIce,isIceCream,isLavatory,isMakeup,isMisterDonuts,isMuji,isOpenStore,isOrganic,isParking,isStarBucks,isSweetPotato,isTea,isUnionPay,town_name,logitude,latitude,company
台北市信義區忠孝東路5段386號,(02)23458895        ,118970              ,松山,,,(02)27229915        ,121574124.0,25040764.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,信義區,121.574124,25.040764,7-11
台北市信義區松仁路213號,(02)27202543        ,906564              ,松仁,,,(02)27299057        ,121568407.0,25026747.0,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,信義區,121.568407,25.026747,7-11
台北市信義區松信路148號1樓,(02)27641720        ,155061              ,松信,,,(02)27656147        ,121571913.407661,25043770.9240663,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.571913407661,25.0437709240663,7-11
台北市信義區松山路608號610號,(02)27264696        ,991702              ,松家,,,(02)27263426        ,121578498.0,25035809.0,台北市,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.578498,25.035809,7-11
台北市信義區松山路11號1樓,(02)27420780        ,136783              ,松泰,,,(02)27475337        ,121578121.0,25048410.0,台北市,N,N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,信義區,121.578121,25.04841,7-11
台北市信義區基隆路1段141號1樓,(02)27637075        ,993041              ,松高,,,(02)27670810        ,121565843.403221,25043212.9222209,台北市,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,信義區,121.565843403221,25.0432129222209,7-11
台北市信義區忠孝東路五段1之6號,(02)27468727        ,135425              ,松捷,,,(02)27638813        ,121565135.0,25041321.0,台北市,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,信義區,121.565135,25.041321,7-11
台北市信義區莊敬路325巷43號,(02)27207402        ,174970              ,松智,,,(02)27206585        ,121564814.0,25029133.0,台北市,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.564814,25.029133,7-11
台北市信義區松德路271號,(02)27272452        ,147299              ,松義,,,(02)27274474        ,121574648.0,25032912.0,台北市,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.574648,25.032912,7-11
台北市信義區松隆路192號194號1樓,(02)27676152        ,159269              ,松錢,,,(02)27658380        ,121572378.408106,25046844.9347933,台北市,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,信義區,121.572378408106,25.046844934793302,7-11
