期別,開獎日,兌獎截止,銷售金額,獎金總額,獎號_1,獎號_2,獎號_3,獎號_4,獎號_5,獎號_6,特別號,頭獎_中獎注數,貳獎_中獎注數,參獎_中獎注數,肆獎_中獎注數,伍獎_中獎注數,陸獎_中獎注數,柒獎_中獎注數,普獎_中獎注數,頭獎_單注獎金,貳獎_單注獎金,參獎_單注獎金,肆獎_單注獎金,伍獎_單注獎金,陸獎_單注獎金,柒獎_單注獎金,普獎_單注獎金,頭獎_累積至次期獎金,貳獎_累積至次期獎金,參獎_累積至次期獎金,肆獎_累積至次期獎金,伍獎_累積至次期獎金
104000038,104/04/24,104/07/24,129514500,186325268,13,25,41,46,35,31,49,0,0,54,106,2196,2655,27141,40416,0,0,46172,15681,2081,1000,400,400,145427570,2493310,0,0,0
104000037,104/04/21,104/07/21,113047450,155330506,01,22,03,33,29,11,30,0,1,67,145,2944,3251,29405,42778,0,1803113,26912,8290,1122,1000,400,400,115092293,0,0,0,0
104000036,104/04/17,104/07/17,110597800,129254165,47,45,26,36,33,32,39,0,1,30,102,1836,2777,26840,33601,0,2032523,67750,13284,2029,1000,400,400,93154409,0,0,0,0
104000035,104/04/14,104/07/14,108548650,105307948,38,01,48,49,23,22,11,0,1,75,101,2393,2765,27123,37071,0,1875549,25007,12379,1436,1000,400,400,68425375,0,0,0,0
104000034,104/04/10,104/07/10,104984000,85084057,44,17,10,11,42,20,13,0,2,30,76,1833,2269,23484,33084,0,3842108,65690,17286,1971,1000,400,400,45606191,0,0,0,0
104000033,104/04/07,104/07/07,99899700,58880597,17,47,11,45,19,33,04,0,0,33,99,1724,2506,25393,31631,0,0,53871,11971,1890,1000,400,400,21629341,5713516,0,0,0
104000032,104/04/03,104/07/03,99212500,132272683,36,13,43,32,42,40,41,1,0,32,81,1529,2212,20321,27560,100000000,0,62254,16396,2388,1000,400,400,0,3935762,0,0,0
104000031,104/03/31,104/06/30,104815600,79772905,02,32,43,13,25,04,15,0,0,37,86,1837,2387,24023,33147,0,0,52530,15066,1939,1000,400,400,45771638,1943614,0,0,0
104000030,104/03/27,104/06/27,105980900,58289495,12,36,24,13,18,15,39,0,1,62,126,2288,2723,26100,37048,0,1818437,29329,9621,1457,1000,400,400,22124325,0,0,0,0
104000029,104/03/24,104/06/24,198896200,532967873,09,04,06,17,03,24,28,1,7,117,269,4923,6315,57951,76333,459610909,423122,25315,7340,1103,1000,400,400,0,0,0,0,0
104000028,104/03/20,104/06/20,191800850,491835236,04,13,07,29,09,46,08,0,3,72,210,3836,5587,56041,66217,0,1020005,42500,9714,1462,1000,400,400,423574963,0,0,0,0
104000027,104/03/17,104/06/17,188401800,448652001,36,42,49,05,32,40,01,0,2,51,178,3176,4560,47116,59051,0,1697825,66581,12717,1960,1000,400,400,386344769,0,0,0,0
104000026,104/03/13,104/06/13,179903650,408675213,06,22,09,14,33,16,11,0,1,76,215,3523,5399,49748,63222,0,2901600,38178,8997,1509,1000,400,400,345031011,0,0,0,0
104000025,104/03/10,104/06/10,166029250,363415942,11,25,46,47,03,34,42,0,2,49,113,2942,3630,36926,53425,0,1546370,63117,18246,1927,1000,400,400,309728206,0,0,0,0
104000024,104/03/06,104/06/06,159530900,323857380,44,22,21,06,37,35,29,0,1,44,141,2730,3667,38035,48918,0,2957627,67218,13984,1986,1000,400,400,272099855,0,0,0,0
104000023,104/03/03,104/06/03,160980800,290455547,43,46,41,06,11,04,21,0,3,56,113,2613,3526,36589,48339,0,2041363,54688,18068,2148,1000,400,400,236115385,0,0,0,0
104000022,104/02/27,104/05/27,169047550,254581758,02,06,43,38,27,34,45,0,0,60,147,3211,4065,39246,55467,0,0,51025,13884,1748,1000,400,400,198854550,3061557,0,0,0
104000021,104/02/24,104/05/24,279119350,253515642,46,39,28,03,48,41,09,0,2,97,255,4698,6698,70527,85539,0,2531737,52200,13237,1975,1000,400,400,161605606,0,0,0,0
104000020,104/02/23,104/05/23,239724800,179929259,21,20,43,38,32,14,23,1,2,78,193,4053,6175,62193,74185,100000000,2133673,54709,14740,1930,1000,400,400,0,0,0,0,0
